Data;Dolar_Comercial
29/03/2021;5.767
26/03/2021;5.746
25/03/2021;5.667
24/03/2021;5.613
23/03/2021;5.514
22/03/2021;5.513
19/03/2021;5.488
18/03/2021;5.559
17/03/2021;5.583
16/03/2021;5.611
15/03/2021;5.645
12/03/2021;5.564
11/03/2021;5.536
10/03/2021;5.656
09/03/2021;5.789
08/03/2021;5.769
05/03/2021;5.694
04/03/2021;5.663
03/03/2021;5.752
02/03/2021;5.665
01/03/2021;5.599
26/02/2021;5.581
25/02/2021;5.506
24/02/2021;5.433
23/02/2021;5.452
22/02/2021;5.442
19/02/2021;5.407
18/02/2021;5.44
17/02/2021;5.42
12/02/2021;5.378
11/02/2021;5.392
10/02/2021;5.379
09/02/2021;5.382
08/02/2021;5.372
05/02/2021;5.386
04/02/2021;5.454
03/02/2021;5.362
02/02/2021;5.358
01/02/2021;5.451
29/01/2021;5.483
28/01/2021;5.436
27/01/2021;5.397
26/01/2021;5.328
25/01/2021;5.508
22/01/2021;5.472
21/01/2021;5.356
20/01/2021;5.319
19/01/2021;5.35
18/01/2021;5.292
15/01/2021;5.286
14/01/2021;5.203
13/01/2021;5.3
12/01/2021;5.333
11/01/2021;5.491
08/01/2021;5.416
07/01/2021;5.387
06/01/2021;5.283
05/01/2021;5.263
04/01/2021;5.261
30/12/2020;5.186
29/12/2020;5.184
28/12/2020;5.239
23/12/2020;5.199
22/12/2020;5.165
21/12/2020;5.124
18/12/2020;5.087
17/12/2020;5.075
16/12/2020;5.126
15/12/2020;5.089
14/12/2020;5.11
11/12/2020;5.053
10/12/2020;5.037
09/12/2020;5.183
08/12/2020;5.129
07/12/2020;5.082
04/12/2020;5.128
03/12/2020;5.137
02/12/2020;5.245
01/12/2020;5.234
30/11/2020;5.353
27/11/2020;5.329
26/11/2020;5.33
25/11/2020;5.318
24/11/2020;5.385
23/11/2020;5.437
20/11/2020;5.372
19/11/2020;5.312
18/11/2020;5.345
17/11/2020;5.338
16/11/2020;5.432
13/11/2020;5.477
12/11/2020;5.466
11/11/2020;5.414
10/11/2020;5.379
09/11/2020;5.414
06/11/2020;5.388
05/11/2020;5.547
04/11/2020;5.662
03/11/2020;5.751
30/10/2020;5.748
29/10/2020;5.751
28/10/2020;5.743
27/10/2020;5.674
26/10/2020;5.625
23/10/2020;5.628
22/10/2020;5.598
21/10/2020;5.607
20/10/2020;5.598
19/10/2020;5.604
16/10/2020;5.645
15/10/2020;5.612
14/10/2020;5.603
13/10/2020;5.574
09/10/2020;5.532
08/10/2020;5.588
07/10/2020;5.617
06/10/2020;5.6
05/10/2020;5.561
02/10/2020;5.657
01/10/2020;5.652
30/09/2020;5.618
29/09/2020;5.636
28/09/2020;5.635
25/09/2020;5.544
24/09/2020;5.516
23/09/2020;5.577
22/09/2020;5.465
21/09/2020;5.403
18/09/2020;5.367
17/09/2020;5.238
16/09/2020;5.24
15/09/2020;5.286
14/09/2020;5.277
11/09/2020;5.334
10/09/2020;5.316
09/09/2020;5.289
08/09/2020;5.359
04/09/2020;5.306
03/09/2020;5.29
02/09/2020;5.356
01/09/2020;5.388
31/08/2020;5.476
28/08/2020;5.408
27/08/2020;5.569
26/08/2020;5.601
25/08/2020;5.524
24/08/2020;5.599
21/08/2020;5.608
20/08/2020;5.557
19/08/2020;5.523
18/08/2020;5.468
17/08/2020;5.503
14/08/2020;5.43
13/08/2020;5.37
12/08/2020;5.455
11/08/2020;5.405
10/08/2020;5.458
07/08/2020;5.42
06/08/2020;5.354
05/08/2020;5.298
04/08/2020;5.298
03/08/2020;5.331
31/07/2020;5.213
30/07/2020;5.156
29/07/2020;5.17
28/07/2020;5.153
27/07/2020;5.169
24/07/2020;5.209
23/07/2020;5.206
22/07/2020;5.118
21/07/2020;5.197
20/07/2020;5.334
17/07/2020;5.386
16/07/2020;5.325
15/07/2020;5.382
14/07/2020;5.341
13/07/2020;5.372
10/07/2020;5.32
09/07/2020;5.336
08/07/2020;5.345
07/07/2020;5.38
06/07/2020;5.342
03/07/2020;5.315
02/07/2020;5.352
01/07/2020;5.311
30/06/2020;5.44
29/06/2020;5.436
26/06/2020;5.468
25/06/2020;5.324
24/06/2020;5.316
23/06/2020;5.145
22/06/2020;5.268
19/06/2020;5.305
18/06/2020;5.386
17/06/2020;5.265
16/06/2020;5.225
15/06/2020;5.15
12/06/2020;5.059
10/06/2020;4.917
09/06/2020;4.877
08/06/2020;4.871
05/06/2020;4.968
04/06/2020;5.116
03/06/2020;5.068
02/06/2020;5.22
01/06/2020;5.379
29/05/2020;5.34
28/05/2020;5.363
27/05/2020;5.292
26/05/2020;5.34
25/05/2020;5.454
22/05/2020;5.58
21/05/2020;5.574
20/05/2020;5.677
19/05/2020;5.734
18/05/2020;5.714
15/05/2020;5.832
14/05/2020;5.837
13/05/2020;5.915
12/05/2020;5.862
11/05/2020;5.835
08/05/2020;5.748
07/05/2020;5.858
06/05/2020;5.701
05/05/2020;5.597
04/05/2020;5.539
30/04/2020;5.447
29/04/2020;5.357
28/04/2020;5.498
27/04/2020;5.709
24/04/2020;5.671
23/04/2020;5.504
22/04/2020;5.407
20/04/2020;5.306
17/04/2020;5.243
16/04/2020;5.259
15/04/2020;5.236
14/04/2020;5.187
13/04/2020;5.177
09/04/2020;5.1
08/04/2020;5.151
07/04/2020;5.217
06/04/2020;5.302
03/04/2020;5.315
02/04/2020;5.265
01/04/2020;5.26
31/03/2020;5.196
30/03/2020;5.175
27/03/2020;5.058
26/03/2020;5.004
25/03/2020;5.012
24/03/2020;5.092
23/03/2020;5.139
20/03/2020;5.049
19/03/2020;5.099
18/03/2020;5.228
17/03/2020;5.001
16/03/2020;5.03
13/03/2020;4.852
12/03/2020;4.818
11/03/2020;4.734
10/03/2020;4.644
09/03/2020;4.745
06/03/2020;4.629
05/03/2020;4.648
04/03/2020;4.578
03/03/2020;4.51
02/03/2020;4.485
28/02/2020;4.492
27/02/2020;4.47
26/02/2020;4.439
21/02/2020;4.39
20/02/2020;4.386
19/02/2020;4.369
18/02/2020;4.358
17/02/2020;4.326
14/02/2020;4.3
13/02/2020;4.344
12/02/2020;4.347
11/02/2020;4.326
10/02/2020;4.327
07/02/2020;4.319
06/02/2020;4.277
05/02/2020;4.244
04/02/2020;4.257
03/02/2020;4.249
31/01/2020;4.283
30/01/2020;4.261
29/01/2020;4.222
28/01/2020;4.194
27/01/2020;4.205
24/01/2020;4.186
23/01/2020;4.165
22/01/2020;4.177
21/01/2020;4.2
20/01/2020;4.189
17/01/2020;4.161
16/01/2020;4.194
15/01/2020;4.177
14/01/2020;4.129
13/01/2020;4.137
10/01/2020;4.081
09/01/2020;4.087
08/01/2020;4.049
07/01/2020;4.06
06/01/2020;4.071
03/01/2020;4.053
02/01/2020;4.023
